book_id,title,processed_dir,k,peak_rank,peak_index,peak_pos_norm,start_word,end_word,text_preview
11,Alice's Adventures in Wonderland,alice_s_adventures_wonderland,5,1,1,0.0038022813688212928,100,400,"sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, “and what is the use of a book,” thought Alice “without p"
11,Alice's Adventures in Wonderland,alice_s_adventures_wonderland,5,2,48,0.18250950570342206,4800,5100,"my dear?” it continued, turning to Alice as it spoke. “As wet as ever,” said Alice in a melancholy tone: “it doesn’t seem to dry me at all.” “In that case,” said the Dodo solemnly, rising to its feet, “I move that the me"
11,Alice's Adventures in Wonderland,alice_s_adventures_wonderland,5,3,93,0.35361216730038025,9300,9600,"to sell you a couple?” “You are old,” said the youth, “and your jaws are too weak For anything tougher than suet; Yet you finished the goose, with the bones and the beak— Pray, how did you manage to do it?” “In my youth,"
16,Peter Pan,peter_pan,5,1,1,0.002127659574468085,100,400,Chapter VIII. THE MERMAIDS’ LAGOON Chapter IX. THE NEVER BIRD Chapter X. THE HAPPY HOME Chapter XI. WENDY’S STORY Chapter XII. THE CHILDREN ARE CARRIED OFF Chapter XIII. DO YOU BELIEVE IN FAIRIES? Chapter XIV. THE PIRATE
16,Peter Pan,peter_pan,5,2,15,0.031914893617021274,1500,1800,"asleep to rummage in their minds and put things straight for next morning, repacking into their proper places the many articles that have wandered during the day. If you could keep awake (but of course you can’t) you wou"
16,Peter Pan,peter_pan,5,3,185,0.39361702127659576,18500,18800,"cried Peter sternly. Quickly they made-believe to grow the loveliest roses up the walls. Babies? To prevent Peter ordering babies they hurried into song again: “We’ve made the roses peeping out, The babes are at the door"
35,The Time Machine,time_machine,5,1,1,0.003105590062111801,100,400,"pale grey eyes shone and twinkled, and his usually pale face was flushed and animated. The fire burnt brightly, and the soft radiance of the incandescent lights in the lilies of silver caught the bubbles that flashed and"
35,The Time Machine,time_machine,5,2,113,0.35093167701863354,11300,11600,"down my cheek and chin. All the time I ran I was saying to myself: ‘They have moved it a little, pushed it under the bushes out of the way.’ Nevertheless, I ran with all my might. All the time, with the certainty that so"
35,The Time Machine,time_machine,5,3,205,0.6366459627329193,20500,20800,"in sight of the palace, silhouetted black against the pale yellow of the sky. “Weena had been hugely delighted when I began to carry her, but after a while she desired me to let her down, and ran along by the side of me,"
36,The War of the Worlds,war_worlds,5,1,123,0.205685618729097,12300,12600,"knew, that his wife had gone to London with him and had locked up their house. I went in again, according to my promise, to get my servant’s box, lugged it out, clapped it beside her on the tail of the dog cart, and then"
36,The War of the Worlds,war_worlds,5,2,371,0.6204013377926422,37100,37400,"how this change affected our position, save that we were relieved of our fear of the Black Smoke. But later I perceived that we were no longer hemmed in, that now we might get away. So soon as I realised that the way of "
36,The War of the Worlds,war_worlds,5,3,444,0.7424749163879598,44400,44700,"the sky to herself. I heard a dog howling, and that familiar sound it was that made me listen. Then I heard quite distinctly a booming exactly like the sound of great guns. Six distinct reports I counted, and after a lon"
43,The Strange Case of Dr. Jekyll and Mr. Hyde,strange_case_dr_jekyll,5,1,1,0.003937007874015748,100,400,"when the wine was to his taste, something eminently human beaconed from his eye; something indeed which never found its way into his talk, but which spoke not only in these silent symbols of the after-dinner face, but mo"
43,The Strange Case of Dr. Jekyll and Mr. Hyde,strange_case_dr_jekyll,5,2,60,0.23622047244094488,6000,6300,"the fire. “I have no doubt you are perfectly right,” he said at last, getting to his feet. “Well, but since we have touched upon this business, and for the last time I hope,” continued the doctor, “there is one point I s"
43,The Strange Case of Dr. Jekyll and Mr. Hyde,strange_case_dr_jekyll,5,3,184,0.7244094488188977,18400,18700,"at the table and held on, staring with injected eyes, gasping with open mouth; and as I looked there came, I thought, a change—he seemed to swell—his face became suddenly black and the features seemed to melt and alter—a"
55,The Wonderful Wizard of Oz,wonderful_wizard_oz,5,1,4,0.01015228426395939,400,700,"Em, who was the farmer’s wife. Their house was small, for the lumber to build it had to be carried by wagon many miles. There were four walls, a floor and a roof, which made one room; and this room contained a rusty look"
55,The Wonderful Wizard of Oz,wonderful_wizard_oz,5,2,122,0.3096446700507614,12200,12500,"a tree full of fine fruit. This pleased Dorothy, who had eaten nothing but nuts all day, and she made a hearty meal of the ripe fruit. But it takes time to make a raft, even when one is as industrious and untiring as the"
55,The Wonderful Wizard of Oz,wonderful_wizard_oz,5,3,362,0.9187817258883249,36200,36500,"I could carry you in my basket.” “That would make me very unhappy,” answered the china Princess. “You see, here in our country we live contentedly, and can talk and move around as we please. But whenever any of us are ta"
84,"Frankenstein; Or, The Modern Prometheus",frankenstein_modern_prometheus,5,1,1,0.001336898395721925,100,400,"forebodings. I arrived here yesterday, and my first task is to assure my dear sister of my welfare and increasing confidence in the success of my undertaking. I am already far north of London, and as I walk in the street"
84,"Frankenstein; Or, The Modern Prometheus",frankenstein_modern_prometheus,5,2,146,0.19518716577540107,14600,14900,"before. Winter, spring, and summer passed away during my labours; but I did not watch the blossom or the expanding leaves—sights which before always yielded me supreme delight—so deeply was I engrossed in my occupation. "
84,"Frankenstein; Or, The Modern Prometheus",frankenstein_modern_prometheus,5,3,307,0.410427807486631,30700,31000,"origin and author? Cursed be the day, abhorred devil, in which you first saw light! Cursed (although I curse myself) be the hands that formed you! You have made me wretched beyond expression. You have left me no power to"
103,Around the World in Eighty Days,around_world_eighty_days,5,1,428,0.6782884310618067,42800,43100,"station drew up to the door. As he was getting in, Mr. Fogg said to Fix, “You have not seen this Colonel Proctor again?” “No.” “I will come back to America to find him,” said Phileas Fogg calmly. “It would not be right f"
103,Around the World in Eighty Days,around_world_eighty_days,5,2,434,0.687797147385103,43400,43700,"at New York on the 11th for Liverpool. The car which he occupied was a sort of long omnibus on eight wheels, and with no compartments in the interior. It was supplied with two rows of seats, perpendicular to the directio"
103,Around the World in Eighty Days,around_world_eighty_days,5,3,582,0.9223454833597464,58200,58500,"have dry wood to keep the steam up to the adequate pressure, and on that day the poop, cabins, bunks, and the spare deck were sacrificed. On the next day, the 19th of December, the masts, rafts, and spars were burned; th"
