branch,cluster,cluster_size,feature,mean_raw,median_raw,mean_z,delta_z_vs_corpus,abs_delta_z,rank_abs_delta
feature,1,5,T,1071.8,1208.0,0.0050634249465256135,0.0050634249465256135,0.0050634249465256135,30
feature,1,5,mean_y,1.3189880946156616,1.3520518358531317,-0.976001754901892,-0.976001754901892,0.976001754901892,4
feature,1,5,std_y,0.7930057876191408,0.8047852142292746,-0.4122077956801718,-0.4122077956801718,0.4122077956801718,23
feature,1,5,median_y,1.0,1.0,-0.4999999999999999,-0.4999999999999999,0.4999999999999999,22
feature,1,5,iqr_y,1.0,1.0,0.0,0.0,0.0,31
feature,1,5,min_y,0.0,0.0,0.0,0.0,0.0,32
feature,1,5,max_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,25
feature,1,5,p10_y,0.2,0.0,-0.6934444639808038,-0.6934444639808038,0.6934444639808038,14
feature,1,5,p90_y,2.0,2.0,-1.1055415967851328,-1.1055415967851328,1.1055415967851328,2
feature,1,5,range_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,26
feature,1,5,prop_label_0,0.1259660273880513,0.12183544303797468,0.8666913425244601,0.8666913425244601,0.8666913425244601,9
feature,1,5,prop_label_1,0.507583819988821,0.49838012958963285,0.8746478607165413,0.8746478607165413,0.8746478607165413,8
feature,1,5,prop_label_2,0.29216820431591417,0.3050755939524838,-0.8447380361651268,-0.8447380361651268,0.8447380361651268,10
feature,1,5,prop_label_3,0.07005992723384244,0.07613390928725702,-0.918878334757928,-0.918878334757928,0.918878334757928,6
feature,1,5,prop_label_4,0.004222021073371237,0.003779697624190065,-0.220369297407774,-0.220369297407774,0.220369297407774,27
feature,1,5,entropy_labels,1.6855264567149555,1.6980666207694521,-0.38866619364664634,-0.38866619364664634,0.38866619364664634,24
feature,1,5,mean_abs_diff,0.701357758623588,0.700507614213198,-0.7777662301095856,-0.7777662301095856,0.7777662301095856,13
feature,1,5,std_diff,0.9453851634038589,0.9494238805994295,-0.8264967457876244,-0.8264967457876244,0.8264967457876244,11
feature,1,5,p95_abs_diff,2.0,2.0,0.0,0.0,0.0,33
feature,1,5,jump_ge_2_rate,0.07610728650118502,0.08082408874801902,-0.9740375410376139,-0.9740375410376139,0.9740375410376139,5
feature,1,5,up_rate,0.33068171680085884,0.3288749016522423,-0.5725771872714799,-0.5725771872714799,0.5725771872714799,19
feature,1,5,down_rate,0.28471793235658527,0.2852512155591572,-0.6931210877399205,-0.6931210877399205,0.6931210877399205,15
feature,1,5,flat_rate,0.38460035084255584,0.37817258883248733,0.658543174620539,0.658543174620539,0.658543174620539,17
feature,1,5,lag1_autocorr,0.28559463033645427,0.3037657899498464,0.5534873803535187,0.5534873803535187,0.5534873803535187,20
feature,1,5,sign_change_rate,0.6997657768808485,0.6943722943722944,-0.1597093688649896,-0.1597093688649896,0.1597093688649896,28
feature,1,5,corr_with_position,0.13898644663957865,0.14124341535530618,0.6630327982767772,0.6630327982767772,0.6630327982767772,16
feature,1,5,slope_position,0.38314323264561795,0.3900871740298616,0.6016207361308304,0.6016207361308304,0.6016207361308304,18
feature,1,5,mean_early,1.2044361563103778,1.2139303482587065,-1.1144692386070294,-1.1144692386070294,1.1144692386070294,1
feature,1,5,mean_mid,1.331724437291983,1.3933649289099526,-0.8861195317289873,-0.8861195317289873,0.8861195317289873,7
feature,1,5,mean_late,1.420291764161264,1.4094292803970223,-0.5050134934744177,-0.5050134934744177,0.5050134934744177,21
