variant,label,count,proportion,scope,book_id,processed_dir,title
base,0,7977,0.37385761822186814,global,,,
base,1,2523,0.11824530158878943,global,,,
base,2,3711,0.17392323194450954,global,,,
base,3,6760,0.3168205464685757,global,,,
base,4,366,0.017153301776257207,global,,,
winsize_5,0,2428,0.11379294183812157,global,,,
winsize_5,1,2050,0.0960772367249379,global,,,
winsize_5,2,4142,0.19412288512911843,global,,,
winsize_5,3,11717,0.54913999156395,global,,,
winsize_5,4,1000,0.046866944743872145,global,,,
indep_winsize_5,0,1914,0.08970333223977128,global,,,
indep_winsize_5,1,10127,0.4746215494211932,global,,,
indep_winsize_5,2,7123,0.33383324741060133,global,,,
indep_winsize_5,3,2084,0.09767071284622955,global,,,
indep_winsize_5,4,89,0.004171158082204621,global,,,
base,0,64,0.24242424242424243,book,11.0,alice_s_adventures_wonderland,Alice's Adventures in Wonderland
base,1,67,0.2537878787878788,book,11.0,alice_s_adventures_wonderland,Alice's Adventures in Wonderland
base,2,45,0.17045454545454544,book,11.0,alice_s_adventures_wonderland,Alice's Adventures in Wonderland
base,3,85,0.32196969696969696,book,11.0,alice_s_adventures_wonderland,Alice's Adventures in Wonderland
base,4,3,0.011363636363636364,book,11.0,alice_s_adventures_wonderland,Alice's Adventures in Wonderland
winsize_5,0,0,0.0,book,11.0,alice_s_adventures_wonderland,Alice's Adventures in Wonderland
winsize_5,1,20,0.07575757575757576,book,11.0,alice_s_adventures_wonderland,Alice's Adventures in Wonderland
winsize_5,2,50,0.1893939393939394,book,11.0,alice_s_adventures_wonderland,Alice's Adventures in Wonderland
winsize_5,3,189,0.7159090909090909,book,11.0,alice_s_adventures_wonderland,Alice's Adventures in Wonderland
winsize_5,4,5,0.01893939393939394,book,11.0,alice_s_adventures_wonderland,Alice's Adventures in Wonderland
indep_winsize_5,0,18,0.06818181818181818,book,11.0,alice_s_adventures_wonderland,Alice's Adventures in Wonderland
indep_winsize_5,1,144,0.5454545454545454,book,11.0,alice_s_adventures_wonderland,Alice's Adventures in Wonderland
indep_winsize_5,2,81,0.3068181818181818,book,11.0,alice_s_adventures_wonderland,Alice's Adventures in Wonderland
indep_winsize_5,3,21,0.07954545454545454,book,11.0,alice_s_adventures_wonderland,Alice's Adventures in Wonderland
indep_winsize_5,4,0,0.0,book,11.0,alice_s_adventures_wonderland,Alice's Adventures in Wonderland
base,0,111,0.2356687898089172,book,16.0,peter_pan,Peter Pan
base,1,62,0.1316348195329087,book,16.0,peter_pan,Peter Pan
base,2,88,0.18683651804670912,book,16.0,peter_pan,Peter Pan
base,3,202,0.4288747346072187,book,16.0,peter_pan,Peter Pan
base,4,8,0.016985138004246284,book,16.0,peter_pan,Peter Pan
winsize_5,0,20,0.04246284501061571,book,16.0,peter_pan,Peter Pan
winsize_5,1,25,0.05307855626326964,book,16.0,peter_pan,Peter Pan
winsize_5,2,80,0.16985138004246284,book,16.0,peter_pan,Peter Pan
winsize_5,3,326,0.692144373673036,book,16.0,peter_pan,Peter Pan
winsize_5,4,20,0.04246284501061571,book,16.0,peter_pan,Peter Pan
indep_winsize_5,0,44,0.09341825902335456,book,16.0,peter_pan,Peter Pan
indep_winsize_5,1,224,0.47558386411889597,book,16.0,peter_pan,Peter Pan
indep_winsize_5,2,138,0.2929936305732484,book,16.0,peter_pan,Peter Pan
indep_winsize_5,3,64,0.13588110403397027,book,16.0,peter_pan,Peter Pan
indep_winsize_5,4,1,0.0021231422505307855,book,16.0,peter_pan,Peter Pan
base,0,115,0.3560371517027864,book,35.0,time_machine,The Time Machine
base,1,33,0.1021671826625387,book,35.0,time_machine,The Time Machine
base,2,78,0.24148606811145512,book,35.0,time_machine,The Time Machine
base,3,96,0.29721362229102166,book,35.0,time_machine,The Time Machine
base,4,1,0.0030959752321981426,book,35.0,time_machine,The Time Machine
winsize_5,0,25,0.07739938080495357,book,35.0,time_machine,The Time Machine
winsize_5,1,25,0.07739938080495357,book,35.0,time_machine,The Time Machine
winsize_5,2,80,0.2476780185758514,book,35.0,time_machine,The Time Machine
winsize_5,3,188,0.5820433436532507,book,35.0,time_machine,The Time Machine
winsize_5,4,5,0.015479876160990712,book,35.0,time_machine,The Time Machine
indep_winsize_5,0,50,0.15479876160990713,book,35.0,time_machine,The Time Machine
indep_winsize_5,1,158,0.4891640866873065,book,35.0,time_machine,The Time Machine
indep_winsize_5,2,85,0.2631578947368421,book,35.0,time_machine,The Time Machine
indep_winsize_5,3,27,0.08359133126934984,book,35.0,time_machine,The Time Machine
indep_winsize_5,4,3,0.009287925696594427,book,35.0,time_machine,The Time Machine
base,0,206,0.34390651085141904,book,36.0,war_worlds,The War of the Worlds
base,1,76,0.12687813021702837,book,36.0,war_worlds,The War of the Worlds
base,2,102,0.17028380634390652,book,36.0,war_worlds,The War of the Worlds
base,3,206,0.34390651085141904,book,36.0,war_worlds,The War of the Worlds
base,4,9,0.015025041736227046,book,36.0,war_worlds,The War of the Worlds
winsize_5,0,65,0.10851419031719532,book,36.0,war_worlds,The War of the Worlds
winsize_5,1,35,0.05843071786310518,book,36.0,war_worlds,The War of the Worlds
winsize_5,2,45,0.07512520868113523,book,36.0,war_worlds,The War of the Worlds
winsize_5,3,424,0.7078464106844741,book,36.0,war_worlds,The War of the Worlds
winsize_5,4,30,0.05008347245409015,book,36.0,war_worlds,The War of the Worlds
indep_winsize_5,0,60,0.1001669449081803,book,36.0,war_worlds,The War of the Worlds
