variant,book_id,title,processed_dir,split,T,mse,rmse,mae,r2,corr,mae_ma
base,16,Peter Pan,peter_pan,test,471,1.4182185936547884,1.190889832711149,1.032943825847531,0.08589873139084925,0.297360418575789,0.47542472472828795
base,113,The Secret Garden,secret_garden,test,805,1.2905790962569672,1.1360365734680231,0.9678663886733927,0.16756329032908068,0.41142285639173015,0.4252235475394531
base,768,Wuthering Heights,wuthering_heights,test,1158,1.523102594137234,1.2341404272355858,1.0770432672276866,0.11163539101658193,0.3653359229486048,0.4940199415256145
base,1342,Pride and Prejudice,pride_prejudice,test,1272,1.4209949392424757,1.1920549229135693,1.0574258540540313,0.05279766235393868,0.25938242450112803,0.4457450080790796
base,11,Alice's Adventures in Wonderland,alice_s_adventures_wonderland,train,264,1.3596938912471197,1.166059128538137,1.0091056964349499,0.052953855089150514,0.25864557326240006,0.4311777127476142
base,35,The Time Machine,time_machine,train,323,1.304240070212355,1.1420333052115228,0.9961349896775131,0.17189002589441682,0.4159856924225673,0.41254314153379346
base,36,The War of the Worlds,war_worlds,train,599,1.4622465159648983,1.2092338549531676,1.0738716255449243,0.1460156842794288,0.3835519881633205,0.4509674500366639
base,43,The Strange Case of Dr. Jekyll and Mr. Hyde,strange_case_dr_jekyll,train,255,1.5399979489352498,1.2409665382012722,1.1010630691882357,0.10363451403993518,0.32471643519013504,0.44876643907627095
base,55,The Wonderful Wizard of Oz,wonderful_wizard_oz,train,395,1.2462972937220835,1.1163768600800017,0.9633432922707859,0.09087131117402358,0.3055608477309401,0.4005445546806085
base,84,"Frankenstein; Or, The Modern Prometheus",frankenstein_modern_prometheus,train,749,1.5397957363154562,1.2408850616859952,1.0843401878205645,0.15266723179713004,0.3917736298147406,0.4331091973111633
base,103,Around the World in Eighty Days,around_world_eighty_days,train,632,1.3870088575583845,1.1777134021307496,1.0596945646876363,0.17495483746239637,0.4361785155376116,0.4355638492752805
base,120,Treasure Island,treasure_island,train,685,1.3956597158025414,1.181380428059709,1.0373794607477689,0.10543554914946318,0.32996496367862116,0.43508429531200643
base,175,The Phantom of the Opera,phantom_opera,train,854,1.4002859223386195,1.183336774692065,1.033591119773647,0.20334829172574098,0.465755412739097,0.44114357564214046
base,345,Dracula,dracula,train,1612,1.3777969673548027,1.1737959649593293,1.0240698392867367,0.18712251566023386,0.43528870488857146,0.44011192664452387
base,521,Robinson Crusoe,robinson_crusoe,train,1208,1.3497665356819362,1.1617945324720444,1.017158122957906,0.1252585970473289,0.36269584825642015,0.422588887186581
base,1184,The Count of Monte Cristo,count_monte_cristo,train,4608,1.5386109729096962,1.2404075833812434,1.1152501120041505,0.11967701826502264,0.34635961481082106,0.4462753055125827
base,1257,The Three Musketeers,three_musketeers,train,2293,1.490950827781065,1.2210449736930515,1.0967624063728347,0.15705176955622113,0.40412299919067274,0.44303566926029997
base,1260,Jane Eyre,jane_eyre,train,1852,1.3917236621713331,1.179713381364869,1.0316536079240415,0.18715251515977938,0.43891082194553155,0.43708963339437956
base,1513,Romeo and Juliet,romeo_juliet,train,258,1.1237661725133246,1.0600783803631335,0.8083585683751602,0.07848211219029833,0.29844628737643714,0.461208402156493
base,1661,The Adventures of Sherlock Holmes,adventures_sherlock_holmes,train,1044,1.506308723554938,1.2273176946312385,1.0886729550962952,0.0937762989566685,0.3091100536469375,0.4279700393366924
