check,expected,actual,pass
source_exists::variant_global_metrics,True,True,True
source_exists::variant_per_novel_metrics,True,True,True
source_exists::variant_pairwise,True,True,True
source_exists::cluster_quality,True,True,True
source_exists::cluster_profile,True,True,True
source_exists::cluster_representatives,True,True,True
source_exists::cluster_genre_prop,True,True,True
source_exists::cluster_assign_feature,True,True,True
source_exists::cluster_agreement,True,True,True
source_exists::split_manifest,True,True,True
source_exists::metadata,True,True,True
source_exists::ciw5_model_npz,True,True,True
selected_variant_is_ciw5,CIW-5,CIW-5,True
split_is_16_train_4_test,"train=16,test=4","train=16,test=4",True
dataset_profile_for_report_exists,True,True,True
variant_selection_diagnostics_exists,True,True,True
ciw5_per_book_deepdive_exists,True,True,True
method_claims_checklist_exists,True,True,True
required_table_count,7,7,True
curated_figure_count,11,11,True
final_report_exists,True,True,True
other_experiments_exists,True,True,True
embedded_image_links_exist,True,True,True
claims_all_mapped,True,True,True
no_emdash_in_docs,True,True,True
ciw5_rank_1_in_diagnostics,1,1,True
split_counts_are_16_4,"train=16,test=4","train=16,test=4",True
