book_id,processed_dir,title,genre_primary,k,T,corr_speed_s,corr_speed_a,mean_speed,p95_speed
11,alice_s_adventures_wonderland,Alice's Adventures in Wonderland,Fantasy,5,264,0.3284672762112395,0.18179361473629427,0.10467074872350182,0.18602381857745032
11,alice_s_adventures_wonderland,Alice's Adventures in Wonderland,Fantasy,7,264,0.29493769763007444,0.22341161085366815,0.10467074872350182,0.18602381857745032
11,alice_s_adventures_wonderland,Alice's Adventures in Wonderland,Fantasy,11,264,0.2641267126345301,0.2047147454878687,0.10467074872350182,0.18602381857745032
16,peter_pan,Peter Pan,Fantasy,5,471,0.2982771276695187,0.23809781028976312,0.1226986781304961,0.2219899658176635
16,peter_pan,Peter Pan,Fantasy,7,471,0.23469224256610166,0.21744378254794092,0.1226986781304961,0.2219899658176635
16,peter_pan,Peter Pan,Fantasy,11,471,0.1660296031816908,0.2377674906062171,0.1226986781304961,0.2219899658176635
35,time_machine,The Time Machine,Sci-Fi,5,323,0.4136228435592267,0.23281355857954736,0.12452713373609196,0.23242151572322473
35,time_machine,The Time Machine,Sci-Fi,7,323,0.3572959859539471,0.21487488859911605,0.12452713373609196,0.23242151572322473
35,time_machine,The Time Machine,Sci-Fi,11,323,0.3036672702393754,0.21449367174914863,0.12452713373609196,0.23242151572322473
36,war_worlds,The War of the Worlds,Sci-Fi,5,599,0.37403042112803914,0.24220242414884452,0.12005965971742295,0.22826385899660429
36,war_worlds,The War of the Worlds,Sci-Fi,7,599,0.30647348197480506,0.2559322290339932,0.12005965971742295,0.22826385899660429
36,war_worlds,The War of the Worlds,Sci-Fi,11,599,0.22149083830266741,0.2572877167602837,0.12005965971742295,0.22826385899660429
43,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde,Horror,5,255,0.44472316331370304,0.26211127518646704,0.12383128992022846,0.23014429678919707
43,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde,Horror,7,255,0.3828892939148762,0.2825912610028294,0.12383128992022846,0.23014429678919707
43,strange_case_dr_jekyll,The Strange Case of Dr. Jekyll and Mr. Hyde,Horror,11,255,0.3700625882979767,0.2883508330663198,0.12383128992022846,0.23014429678919707
55,wonderful_wizard_oz,The Wonderful Wizard of Oz,Fantasy,5,395,0.3719093759334986,0.22712760860250505,0.09498886615661427,0.1727758543691537
55,wonderful_wizard_oz,The Wonderful Wizard of Oz,Fantasy,7,395,0.3168519981723789,0.2634091712161241,0.09498886615661427,0.1727758543691537
55,wonderful_wizard_oz,The Wonderful Wizard of Oz,Fantasy,11,395,0.2516125467590414,0.3007304342012049,0.09498886615661427,0.1727758543691537
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,5,749,0.4356989535344866,0.23334401579189024,0.14209212777935792,0.262302865847841
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,7,749,0.3540965630615248,0.2714127209501531,0.14209212777935792,0.262302865847841
84,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,11,749,0.24841507181438247,0.2889453009200372,0.14209212777935792,0.262302865847841
103,around_world_eighty_days,Around the World in Eighty Days,Adventure,5,632,0.3359988665065803,0.15219731115034033,0.12060800058382906,0.21717842116678823
103,around_world_eighty_days,Around the World in Eighty Days,Adventure,7,632,0.2516708878340089,0.16070693781265227,0.12060800058382906,0.21717842116678823
103,around_world_eighty_days,Around the World in Eighty Days,Adventure,11,632,0.16835654734994562,0.17161877404587284,0.12060800058382906,0.21717842116678823
113,secret_garden,The Secret Garden,Children's Fiction,5,805,0.3153934995049925,0.13933645371785616,0.12126883972828895,0.23203142351763587
113,secret_garden,The Secret Garden,Children's Fiction,7,805,0.2567684943374636,0.1608251041226819,0.12126883972828895,0.23203142351763587
113,secret_garden,The Secret Garden,Children's Fiction,11,805,0.18732241012286424,0.15539082343603694,0.12126883972828895,0.23203142351763587
120,treasure_island,Treasure Island,Adventure,5,685,0.31488095628043233,0.16429507504129892,0.13048073977892796,0.22288470018477743
120,treasure_island,Treasure Island,Adventure,7,685,0.2683150693477348,0.15563828918037528,0.13048073977892796,0.22288470018477743
120,treasure_island,Treasure Island,Adventure,11,685,0.2021861168844337,0.19645841044992318,0.13048073977892796,0.22288470018477743
175,phantom_opera,The Phantom of the Opera,Gothic,5,854,0.34918179826266005,0.23342506205994476,0.1361572072909488,0.24903702189213378
175,phantom_opera,The Phantom of the Opera,Gothic,7,854,0.26150948797737333,0.2525046912296018,0.1361572072909488,0.24903702189213378
175,phantom_opera,The Phantom of the Opera,Gothic,11,854,0.17795832126419137,0.25982065102678753,0.1361572072909488,0.24903702189213378
345,dracula,Dracula,Horror,5,1612,0.45595422726657564,0.29969793448159027,0.14259302883755628,0.25231047935169915
345,dracula,Dracula,Horror,7,1612,0.38493965260112767,0.30759425030786536,0.14259302883755628,0.25231047935169915
345,dracula,Dracula,Horror,11,1612,0.3064741069762625,0.2960995002661211,0.14259302883755628,0.25231047935169915
521,robinson_crusoe,Robinson Crusoe,Adventure,5,1208,0.32360799824987874,0.21373791751414675,0.1287796700386943,0.23476832787518465
521,robinson_crusoe,Robinson Crusoe,Adventure,7,1208,0.2449383862354596,0.23030138407905368,0.1287796700386943,0.23476832787518465
521,robinson_crusoe,Robinson Crusoe,Adventure,11,1208,0.17161102722786678,0.2644331886482508,0.1287796700386943,0.23476832787518465
768,wuthering_heights,Wuthering Heights,Gothic,5,1158,0.43823117327540406,0.42517660421431464,0.12519311178280584,0.23433588039659048
768,wuthering_heights,Wuthering Heights,Gothic,7,1158,0.37659859086595,0.46424456048606816,0.12519311178280584,0.23433588039659048
768,wuthering_heights,Wuthering Heights,Gothic,11,1158,0.33423851844263264,0.49379357138166263,0.12519311178280584,0.23433588039659048
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,5,4608,0.3896908096676132,0.2703290916578953,0.1328512814712538,0.23942448433231134
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,7,4608,0.3260068425948875,0.28352745099846727,0.1328512814712538,0.23942448433231134
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,11,4608,0.25709644311976537,0.2909411913217077,0.1328512814712538,0.23942448433231134
1257,three_musketeers,The Three Musketeers,Adventure,5,2293,0.36779471891730636,0.26555380964414543,0.1279344723141308,0.22973091869088524
1257,three_musketeers,The Three Musketeers,Adventure,7,2293,0.29825867608538087,0.2683804924942704,0.1279344723141308,0.22973091869088524
1257,three_musketeers,The Three Musketeers,Adventure,11,2293,0.22210000098947935,0.2694870393385904,0.1279344723141308,0.22973091869088524
1260,jane_eyre,Jane Eyre,Gothic,5,1852,0.39460020006751734,0.31338585191283025,0.13610538975074798,0.24848971841305895
1260,jane_eyre,Jane Eyre,Gothic,7,1852,0.32616608062179275,0.3243451899340433,0.13610538975074798,0.24848971841305895
1260,jane_eyre,Jane Eyre,Gothic,11,1852,0.2635005171881214,0.3512099281204359,0.13610538975074798,0.24848971841305895
1342,pride_prejudice,Pride and Prejudice,Romance,5,1272,0.39877073766908566,0.3862611466262229,0.09710077177895443,0.17822708244027724
1342,pride_prejudice,Pride and Prejudice,Romance,7,1272,0.347146667169406,0.38789485817655217,0.09710077177895443,0.17822708244027724
1342,pride_prejudice,Pride and Prejudice,Romance,11,1272,0.3118624185310605,0.384758698974099,0.09710077177895443,0.17822708244027724
1513,romeo_juliet,Romeo and Juliet,Tragedy,5,258,0.4183575153445499,0.32153763255591294,0.11007019165902188,0.19335120590552082
1513,romeo_juliet,Romeo and Juliet,Tragedy,7,258,0.38566637314125557,0.3426548382151507,0.11007019165902188,0.19335120590552082
1513,romeo_juliet,Romeo and Juliet,Tragedy,11,258,0.3132082480465489,0.3361084972844578,0.11007019165902188,0.19335120590552082
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,5,1044,0.39723761373607874,0.21980311431588018,0.13505119168612897,0.24408851886893757
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,7,1044,0.34178506227756417,0.25016887566905427,0.13505119168612897,0.24408851886893757
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,11,1044,0.27105118028149333,0.26083440381714,0.13505119168612897,0.24408851886893757
